VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	1	0	9	702	0	0			17	195	2	26	897	34.50	3.60	0.22	2.20	2.01	5.48	707.43	158.82	102.21	0.79
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	2	0	7	565	1	6			11	673	3	19	1244	65.47	0.84	0.54	2.23	2.25	3.73	526.45	168.71	177.16	0.42
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	3	0	18	1001	1	450			5	225	3	24	1676	69.83	4.45	0.13	2.21	2.20	11.83	963.78	163.72	156.93	0.58
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	4	3	53	1295	0	0			22	1243	2	75	2538	33.84	1.04	0.49	2.11	2.24	17.45	740.07	128.51	172.76	0.29
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	5	3	27	679	1	726			21	832	3	49	2237	45.65	0.82	0.37	2.13	2.17	9.23	328.42	134.42	146.50	0.15
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	6	3	47	1436	0	0			23	945	2	70	2381	34.01	1.52	0.40	2.13	2.17	20.00	865.81	134.84	147.12	0.36
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	7	6	0	0	0	0			1	137	1	1	137	137.00	0.00	1.00		2.39				245.00	
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	8	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	9	0	14	509	1	2234			20	911	3	35	3654	104.40	0.56	0.25	2.11	2.22	6.00	354.86	129.46	166.98	0.10
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	10	0	13	699	0	0			23	778	2	36	1477	41.03	0.90	0.53	2.23	2.16	9.10	600.15	168.74	145.08	0.41
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	11	0	54	1065	0	0			8	341	2	62	1406	22.68	3.12	0.24	1.84	2.20	7.40	1014.72	68.48	157.68	0.72
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	12	3	13	338	0	0			12	521	2	25	859	34.36	0.65	0.61	2.12	2.20	3.43	212.71	130.62	158.41	0.25
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	13	3	16	640	0	0			12	447	2	28	1087	38.82	1.43	0.41	2.18	2.19	9.00	495.12	149.99	154.81	0.46
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	14	3	38	760	0	0			15	661	2	53	1421	26.81	1.15	0.47	2.08	2.20	8.60	311.14	120.54	160.02	0.22
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	15	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	16	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	17	0	4	252	0	0			14	706	2	18	958	53.22	0.36	0.74	2.24	2.20	2.95	215.24	174.80	159.02	0.22
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	18	0	25	1159	0	0			14	468	2	39	1627	41.72	2.48	0.29	2.12	2.13	10.92	939.76	132.93	136.10	0.58
