VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	3	3	107	3126	0	0			10	504	2	117	3630	31.03	6.20	0.14	2.08	2.21	24.48	1606.73	119.38	162.51	0.44
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	4	0	44	1447	0	0			14	573	2	58	2020	34.83	2.53	0.28	2.14	2.20	18.78	903.88	136.75	157.44	0.45
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	5	0	51	1653	0	0			7	382	2	58	2035	35.09	4.33	0.19	2.07	2.23	12.77	993.29	117.39	170.65	0.49
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	6	0	37	587	0	0			16	609	2	53	1196	22.57	0.96	0.51	2.01	2.19	5.90	264.46	101.72	155.86	0.22
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	7	3	98	2615	0	0			51	1537	2	149	4152	27.87	1.70	0.37	2.10	2.15	28.48	1386.94	126.64	142.82	0.33
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	8	0	16	528	1	435			9	345	3	26	1308	50.31	1.53	0.26	2.12	2.17	6.25	318.19	130.92	146.46	0.24
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	9	6	2	95	0	0			0	0	1	2	95	47.50		0.00	2.24		1.73	87.57	171.86		0.92
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	10	6	5	137	0	0			0	0	1	5	137	27.40		0.00	2.15		1.72	48.00	140.40		0.35
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	11	3	49	1800	0	0			3	241	2	52	2041	39.25	7.47	0.12	2.18	2.29	23.70	1097.98	149.80	196.39	0.54
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	12	0	27	1005	0	0			9	323	2	36	1328	36.89	3.11	0.24	2.15	2.18	11.73	627.81	140.38	149.87	0.47
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	13	0	34	599	1	768			26	901	3	61	2268	37.18	0.66	0.40	2.05	2.12	5.28	174.51	111.07	133.26	0.08
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	14	6	1	40	0	0			0	0	1	1	40	40.00		0.00	2.20		0.67	26.10	160.00		0.65
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	15	0	66	1010	0	0			10	663	2	76	1673	22.01	1.52	0.40	2.00	2.27	8.18	432.37	100.80	184.62	0.26
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	16	6	7	171	0	0			0	0	1	7	171	24.43		0.00	2.13		1.90	45.95	136.21		0.27
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	17	0	14	354	1	23			18	673	3	33	1050	31.82	0.53	0.64	2.05	2.18	3.75	208.54	112.59	150.63	0.20
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	18	3	16	456	0	0			4	317	2	20	773	38.65	1.44	0.41	2.16	2.30	6.47	203.60	143.92	199.23	0.26
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	19	3	91	1099	0	0			10	517	2	101	1616	16.00	2.13	0.32	2.00	2.23	7.45	221.57	99.37	170.33	0.14
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	20	3	46	818	0	0			6	516	2	52	1334	25.65	1.59	0.39	2.05	2.31	8.65	299.50	112.15	202.63	0.22
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	21	3	80	1571	0	0			16	1177	2	96	2748	28.63	1.33	0.43	2.06	2.28	16.62	598.34	116.02	191.94	0.22
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	22	6	6	146	0	0			0	0	1	6	146	24.33		0.00	2.14		1.67	40.67	136.59		0.28
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	23	6	4	145	0	0			0	0	1	4	145	36.25		0.00	2.19		2.25	83.07	153.43		0.57
683673-154083	Stensjön	Hela sjön	20060715	B	Bnord12	24	3	26	749	0	0			10	532	2	36	1281	35.58	1.41	0.42	2.12	2.24	8.35	355.64	133.23	173.59	0.28
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	1	0	32	784	2	1865			6	390	3	40	3039	75.98	2.01	0.13	2.11	2.22	9.33	434.86	128.02	165.43	0.14
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	2	3	73	1570	1	169			16	554	3	90	2293	25.48	2.83	0.24	2.05	2.16	14.00	876.26	113.06	145.37	0.38
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	3	3	35	1289	0	0			12	719	2	47	2008	42.72	1.79	0.36	2.14	2.25	10.25	760.56	136.46	175.95	0.38
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	4	0	23	984	0	0			9	368	2	32	1352	42.25	2.67	0.27	2.18	2.21	13.23	723.64	150.02	162.94	0.54
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	5	6	8	260	0	0			5	421	2	13	681	52.38	0.62	0.62	2.14	2.28	2.63	75.29	139.37	191.14	0.11
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	6	6	3	78	0	0			0	0	1	3	78	26.00		0.00	2.14		0.93	23.78	138.59		0.30
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	7	3	22	773	0	0			6	278	2	28	1051	37.54	2.78	0.26	2.13	2.23	5.50	461.77	134.63	170.69	0.44
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	8	0	9	317	0	0			15	616	2	24	933	38.88	0.51	0.66	2.07	2.19	3.22	235.51	118.05	156.57	0.25
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	9	6	3	94	0	0			2	132	2	5	226	45.20	0.71	0.58	2.17	2.28	1.48	55.12	149.07	189.98	0.24
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	10	6	4	122	0	0			0	0	1	4	122	30.50		0.00	2.16		1.77	56.91	146.21		0.47
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	11	0	32	1274	0	0			12	755	2	44	2029	46.11	1.69	0.37	2.17	2.23	18.15	954.28	147.43	169.31	0.47
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	12	6	7	275	0	0			1	92	2	8	367	45.88	2.99	0.25	2.20	2.32	4.70	219.46	159.90	210.00	0.60
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	13	0	33	1153	0	0			12	325	2	45	1478	32.84	3.55	0.22	2.16	2.09	13.55	718.81	143.10	123.70	0.49
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	14	0	33	958	1	886			7	147	3	41	1991	48.56	6.52	0.07	2.11	2.05	10.13	624.94	127.95	110.96	0.31
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	15	3	23	2389	1	1333			14	570	3	38	4292	112.95	4.19	0.13	2.16	2.20	8.53	1846.03	143.68	159.22	0.43
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	16	0	37	1433	0	0			3	181	2	40	1614	40.35	7.92	0.11	2.15	2.27	18.95	1092.28	142.54	185.80	0.68
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	17	0	22	455	1	1020			14	710	3	37	2185	59.05	0.64	0.32	2.07	2.24	4.87	202.95	117.38	172.98	0.09
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	18	6	62	1509	0	0			8	451	2	70	1960	28.00	3.35	0.23	2.12	2.26	14.92	534.95	132.99	181.05	0.27
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	19	3	31	1137	0	0			7	420	2	38	1557	40.97	2.71	0.27	2.16	2.24	12.45	636.21	145.82	173.68	0.41
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	20	6	18	481	0	0			3	201	2	21	682	32.48	2.39	0.29	2.14	2.28	6.18	197.51	138.80	191.14	0.29
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	21	6	8	175	0	0			5	405	2	13	580	44.62	0.43	0.70	2.10	2.31	1.97	70.59	126.16	202.98	0.12
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	22	3	46	1105	0	0			3	139	2	49	1244	25.39	7.95	0.11	2.07	2.16	8.68	607.69	116.73	143.78	0.49
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	23	3	12	362	0	0			3	145	2	15	507	33.80	2.50	0.29	2.13	2.24	3.58	229.71	134.61	174.90	0.45
683673-154083	Stensjön	Hela sjön	20070730	B	Bnord12	24	3	21	1529	0	0			4	125	2	25	1654	66.16	12.23	0.08	2.14	2.17	8.28	1166.98	138.13	148.25	0.71
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	1	0	21	465	0	0			18	350	2	39	815	20.90	1.33	0.43	2.09	2.08	3.95	174.27	124.37	119.37	0.21
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	2	0	24	789	0	0			21	834	2	45	1623	36.07	0.95	0.51	2.13	2.19	9.53	504.24	134.10	155.76	0.31
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	3	6	22	558	0	0			6	262	2	28	820	29.29	2.13	0.32	2.14	2.21	6.52	222.36	136.56	162.49	0.27
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	4	3	23	502	0	0			20	1234	2	43	1736	40.37	0.41	0.71	2.10	2.23	4.40	165.24	124.87	168.32	0.10
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	5	3	41	1194	0	0			4	288	2	45	1482	32.93	4.15	0.19	2.13	2.28	9.92	552.13	133.85	189.26	0.37
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	6	6	3	79	0	0			5	408	2	8	487	60.88	0.19	0.84	2.15	2.30	1.00	26.94	139.86	201.56	0.06
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	7	6	9	382	0	0			5	413	2	14	795	56.79	0.92	0.52	2.21	2.32	6.57	312.85	163.90	207.76	0.39
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	8	6	31	707	1	1439			9	332	3	41	2478	60.44	2.13	0.13	2.11	2.18	8.12	262.18	130.18	152.06	0.11
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	9	0	18	605	0	0			7	298	2	25	903	36.12	2.03	0.33	2.13	2.18	6.47	369.16	135.84	152.37	0.41
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	10	0	21	894	0	0			10	410	2	31	1304	42.06	2.18	0.31	2.15	2.20	9.93	618.20	142.22	157.61	0.47
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	11	6	14	509	0	0			5	380	2	19	889	46.79	1.34	0.43	2.19	2.29	7.85	329.60	154.34	194.94	0.37
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	12	0	39	914	0	0			11	632	2	50	1546	30.92	1.45	0.41	2.10	2.24	9.95	466.60	125.03	173.79	0.30
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	13	6	0	0	0	0			2	257	1	2	257	128.50	0.00	1.00		2.36				228.08	
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	14	6	4	105	0	0			4	378	2	8	483	60.38	0.28	0.78	2.15	2.33	1.43	41.13	141.25	214.92	0.09
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	15	3	76	1825	0	0			13	581	2	89	2406	27.03	3.14	0.24	2.11	2.21	17.42	677.59	130.27	163.62	0.28
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	16	6	4	144	1	526			0	0	2	5	670	134.00		0.00	2.19		2.28	87.07	153.84		0.13
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	17	0	15	531	0	0			10	469	2	25	1000	40.00	1.13	0.47	2.14	2.22	4.73	319.24	137.38	165.72	0.32
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	18	3	24	645	0	0			12	642	2	36	1287	35.75	1.00	0.50	2.12	2.24	7.93	371.51	132.85	172.10	0.29
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	19	0	14	893	0	0			8	218	2	22	1111	50.50	4.10	0.20	2.17	2.15	6.28	744.88	149.52	140.97	0.67
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	20	3	6	200	0	0			16	687	2	22	887	40.32	0.29	0.77	2.17	2.19	2.93	129.81	148.13	153.90	0.15
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	21	3	40	957	0	0			7	251	2	47	1208	25.70	3.81	0.21	2.12	2.19	9.97	309.08	131.74	154.31	0.26
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	22	3	27	473	0	0			9	350	2	36	823	22.86	1.35	0.43	2.07	2.20	3.08	79.75	118.85	157.49	0.10
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	23	3	27	556	0	0			6	302	2	33	858	26.00	1.84	0.35	2.10	2.24	5.15	153.02	126.20	173.74	0.18
683673-154083	Stensjön	Hela sjön	20080810	B	Bnord12	24	0	15	599	1	1581			20	805	3	36	2985	82.92	0.74	0.27	2.16	2.18	7.77	439.84	143.77	152.06	0.15
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	1	0	52	1422	0	0			18	520	2	70	1942	27.74	2.73	0.27	2.13	2.10	17.10	638.88	133.45	125.09	0.33
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	2	0	29	813	0	0			14	584	2	43	1397	32.49	1.39	0.42	2.13	2.18	9.87	396.64	135.31	151.12	0.28
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	3	6	8	183	0	0			3	324	2	11	507	46.09	0.56	0.64	2.12	2.35	1.95	50.69	132.57	222.49	0.10
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	4	3	16	657	0	0			20	1084	2	36	1741	48.36	0.61	0.62	2.15	2.24	6.28	466.45	141.11	174.84	0.27
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	5	3	42	929	0	0			6	271	2	48	1200	25.00	3.43	0.23	2.12	2.22	9.63	249.20	132.13	166.02	0.21
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	6	6	4	118	0	0			0	0	1	4	118	29.50		0.00	2.16		1.70	49.80	145.45		0.42
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	7	6	5	112	0	0			2	158	2	7	270	38.57	0.71	0.59	2.14	2.31	1.42	34.17	136.97	205.32	0.13
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	8	6	15	503	0	0			4	328	2	19	831	43.74	1.53	0.39	2.17	2.31	6.85	328.51	147.33	202.25	0.40
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	9	0	15	472	0	0			20	897	2	35	1369	39.11	0.53	0.66	2.13	2.18	6.07	314.05	135.14	151.41	0.23
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	10	0	20	655	0	0			17	805	2	37	1460	39.46	0.81	0.55	2.15	2.21	7.88	350.55	141.12	162.45	0.24
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	11	6	3	114	0	0			1	82	2	4	196	49.00	1.39	0.42	2.20	2.32	2.02	80.62	160.26	210.00	0.41
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	12	0	16	512	1	1527			14	576	3	31	2615	84.35	0.89	0.22	2.06	2.19	4.95	370.17	114.09	155.62	0.14
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	13	6	1	19	0	0			2	154	2	3	173	57.67	0.12	0.89	2.11	2.31	0.15	2.94	129.00	202.28	0.02
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	14	6	2	44	0	0			2	170	2	4	214	53.50	0.26	0.79	2.12	2.31	0.40	9.38	131.81	204.02	0.04
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	15	3	22	622	0	0			6	356	2	28	978	34.93	1.75	0.36	2.12	2.26	5.92	295.18	131.41	180.43	0.30
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	16	6	4	85	0	0			1	116	2	5	201	40.20	0.73	0.58	2.15	2.37	1.43	46.00	140.84	235.00	0.23
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	17	0	16	412	0	0			6	220	2	22	632	28.73	1.87	0.35	2.07	2.14	5.42	223.87	118.27	138.22	0.35
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	18	3	15	427	0	0			5	354	2	20	781	39.05	1.21	0.45	2.14	2.29	5.50	202.63	139.32	194.65	0.26
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	19	0	26	1050	0	0			21	682	2	47	1732	36.85	1.54	0.39	2.15	2.17	13.63	750.50	142.29	147.91	0.43
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	20	3	6	108	0	0			3	192	2	9	300	33.33	0.56	0.64	2.06	2.28	1.25	39.94	113.63	191.68	0.13
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	21	3	30	480	0	0			6	331	2	36	811	22.53	1.45	0.41	2.07	2.24	5.33	183.49	116.62	175.57	0.23
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	22	3	23	498	0	0			7	350	2	30	848	28.27	1.42	0.41	2.03	2.24	6.50	287.06	107.71	175.71	0.34
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	23	3	22	457	0	0			11	648	2	33	1105	33.48	0.71	0.59	2.10	2.26	5.52	289.04	124.56	182.37	0.26
683673-154083	Stensjön	Hela sjön	20090813	B	Bnord12	24	0	13	325	1	470			15	419	3	29	1214	41.86	0.78	0.35	2.13	2.17	6.07	279.24	135.32	148.91	0.23
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	1	0	33	687					10	247	2	43	934	21.72	2.78	0.26	2.08	2.05	7.10	263.84	121.36	112.29	0.28
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	2	0	25	889					11	497	2	36	1386	38.50	1.79	0.36	2.15	2.21	12.77	689.81	142.08	163.89	0.50
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	3	6	10	338					2	138	2	12	476	39.67	2.45	0.29	2.18	2.31	5.53	231.38	152.27	202.36	0.49
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	4	3	18	512					4	147	2	22	659	29.95	3.48	0.22	2.12	2.18	5.98	332.78	132.31	149.80	0.50
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	5	3	53	1509					9	339	2	62	1848	29.81	4.45	0.18	2.15	2.22	19.17	798.68	141.12	165.63	0.43
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	6	6	1	27					2	150	2	3	177	59.00	0.18	0.85	2.15	2.31	0.35	9.14	141.00	203.94	0.05
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	7	6	0	0					1	81	1	1	81	81.00	0.00	1.00		2.32				209.00	
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	8	6	1	19					1	87	2	2	106	53.00	0.22	0.82	2.11	2.32	0.15	2.94	129.00	211.00	0.03
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	9	0	39	1115					15	490	2	54	1605	29.72	2.28	0.31	2.09	2.11	12.58	795.15	122.72	130.07	0.50
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	10	0	23	446					15	648	2	38	1094	28.79	0.69	0.59	2.05	2.16	4.73	183.10	112.94	145.40	0.17
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	11	6	5	184					1	95	2	6	279	46.50	1.94	0.34	2.20	2.33	3.08	137.11	156.73	215.00	0.49
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	12	0	38	943					11	429	2	49	1372	28.00	2.20	0.31	2.09	2.13	9.73	495.97	122.21	135.41	0.36
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	13	6	0	0					0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	14	6	4	114					2	214	2	6	328	54.67	0.53	0.65	2.16	2.35	1.63	52.43	144.07	224.90	0.16
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	15	3	40	944					3	145	2	43	1089	25.33	6.51	0.13	2.13	2.24	10.97	320.14	135.92	174.29	0.29
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	16	6	2	59					0	0	1	2	59	29.50		0.00	2.17		0.95	30.10	148.40		0.51
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	17	0	18	925					4	204	2	22	1129	51.32	4.53	0.18	2.18	2.26	9.25	755.34	152.94	180.29	0.67
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	18	3	36	886					3	107	2	39	993	25.46	8.28	0.11	2.13	2.22	10.92	506.00	135.35	166.01	0.51
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	19	0	23	596					8	294	2	31	890	28.71	2.03	0.33	2.03	2.20	6.52	367.12	106.16	156.89	0.41
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	20	3	14	497					4	184	2	18	681	37.83	2.70	0.27	2.17	2.24	7.62	347.20	146.64	173.07	0.51
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	21	3	40	1031					6	211	2	46	1242	27.00	4.89	0.17	2.11	2.23	9.55	463.65	128.93	168.93	0.37
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	22	3	17	462					8	340	2	25	802	32.08	1.36	0.42	2.10	2.23	4.20	245.26	125.33	169.52	0.31
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	23	3	21	482					4	157	2	25	639	25.56	3.07	0.25	2.09	2.21	5.57	262.88	124.06	162.97	0.41
683673-154083	Stensjön	Hela sjön	20100813	B	Bnord12	24	0	12	418					11	514	2	23	932	40.52	0.81	0.55	2.18	2.20	6.05	251.58	149.90	160.01	0.27
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	1	3	105	1531	0	0			8	208	2	113	1739	15.39	7.36	0.12	2.03	2.12	6.17	297.47	107.62	132.55	0.17
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	2	0	14	628	0	0			11	431	2	25	1059	42.36	1.46	0.41	2.16	2.17	7.77	557.62	144.12	148.76	0.53
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	3	0	18	607	0	0			9	357	2	27	964	35.70	1.70	0.37	2.12	2.20	8.87	479.46	131.15	157.73	0.50
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	4	6	6	202	0	0			1	72	2	7	274	39.14	2.81	0.26	2.19	2.30	3.37	124.93	153.31	199.00	0.46
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	5	0	17	230	0	0			18	763	2	35	993	28.37	0.30	0.77	2.07	2.20	3.32	133.96	116.58	158.02	0.13
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	6	3	30	555	0	0			4	221	2	34	776	22.82	2.51	0.28	2.10	2.27	6.55	197.45	126.72	184.97	0.25
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	7	6	6	200	0	0			3	203	2	9	403	44.78	0.99	0.50	2.18	2.30	3.30	115.63	152.86	200.21	0.29
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	8	3	17	445	0	0			3	148	2	20	593	29.65	3.01	0.25	2.14	2.25	6.18	226.58	137.83	176.77	0.38
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	9	3	15	427	0	0			3	172	2	18	599	33.28	2.48	0.29	2.12	2.27	4.02	233.01	132.08	187.97	0.39
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	10	0	8	272	0	0			12	385	2	20	657	32.85	0.71	0.59	2.17	2.17	3.98	151.44	149.15	148.28	0.23
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	11	6	4	113	0	0			4	316	2	8	429	53.63	0.36	0.74	2.16	2.31	1.65	51.57	144.45	204.87	0.12
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	12	0	18	474	1	219			16	362	3	35	1055	30.14	1.31	0.34	2.13	2.08	5.85	261.36	133.47	121.30	0.25
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	13	0	31	461	0	0			23	794	2	54	1255	23.24	0.58	0.63	2.04	2.15	3.83	138.16	108.58	140.44	0.11
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	14	0	34	768	0	0			21	805	2	55	1573	28.60	0.95	0.51	2.09	2.13	8.52	365.53	123.99	136.15	0.23
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	15	3	19	460	1	407			1	62	3	21	929	44.24	7.42	0.07	2.13	2.30	5.65	182.41	135.07	198.00	0.20
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	16	3	54	1284	0	0			5	181	2	59	1465	24.83	7.09	0.12	2.09	2.20	11.85	526.03	123.51	158.03	0.36
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	17	6	3	96	0	0			1	51	2	4	147	36.75	1.88	0.35	2.19	2.27	1.68	60.88	153.44	188.00	0.41
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	18	3	12	278	0	0			1	41	2	13	319	24.54	6.78	0.13	2.13	2.23	3.12	85.06	134.81	168.00	0.27
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	19	6	3	87	0	0			4	212	2	7	299	42.71	0.41	0.71	2.16	2.25	1.32	41.46	146.11	179.24	0.14
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	20	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	21	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	22	6	9	244	0	0			2	131	2	11	375	34.09	1.86	0.35	2.16	2.28	3.83	136.94	144.37	190.02	0.37
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	23	0	7	411	1	28			14	361	3	22	800	36.36	1.14	0.45	2.22	2.14	4.87	392.81	164.31	139.34	0.49
683673-154083	Stensjön	Hela sjön	20110817	B	Bnord12	24	3	18	306	0	0			6	265	2	24	571	23.79	1.15	0.46	2.07	2.23	2.45	73.07	117.41	170.72	0.13
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	1	0	60	1182	0	0			11	435	2	71	1617	22.77	2.72	0.27	2.08	2.15	11.68	898.65	121.48	139.81	0.56
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	2	0	18	443	1	1539			8	283	3	27	2265	83.89	1.57	0.12	2.11	2.16	4.37	222.82	127.92	144.48	0.10
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	3	3	39	2008	0	0			7	189	2	46	2197	47.76	10.62	0.09	2.11	2.10	10.77	1499.93	129.94	124.96	0.68
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	4	3	21	645	0	0			6	393	2	27	1038	38.44	1.64	0.38	2.14	2.29	6.75	304.87	137.07	193.33	0.29
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	5	0	12	525	1	655			20	615	3	33	1795	54.39	0.85	0.34	2.16	2.16	4.37	404.42	144.11	143.43	0.23
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	6	0	20	568	0	0			5	155	2	25	723	28.92	3.66	0.21	2.11	2.13	6.30	324.20	128.34	136.13	0.45
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	7	6	1	24	1	1793			0	0	2	2	1817	908.50		0.00	2.13		0.23	5.17	134.00		0.00
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	8	6	4	124	0	0			1	63	2	5	187	37.40	1.97	0.34	2.16	2.28	1.75	62.40	145.63	189.00	0.33
683673-154083	Stensjön	Hela sjön	20120809	B	Bnord12	9	3	37	897	1	462			2	83	3	40	1442	36.05	10.81	0.06	2.10	2.22	4.87	345.57	125.75	166.11	0.24
