"Year"	"DepthStratum"	"N"	"n21"	"n18"	"n15"	"n12"
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"0-3m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"3-6m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2006"	"6-12m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"0-3m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"3-6m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2007"	"6-12m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"0-3m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"3-6m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2008"	"6-12m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"0-3m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"3-6m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2009"	"6-12m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"0-3m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"3-6m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2010"	"6-12m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"0-3m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"3-6m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2011"	"6-12m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
